DATE,LFPR
11/1/2012,70.1
12/1/2012,70.1
1/1/2013,70.3
2/1/2013,70
3/1/2013,69.7
4/1/2013,69.9
5/1/2013,69.9
6/1/2013,69.9
7/1/2013,69.8
8/1/2013,69.6
9/1/2013,69.8
10/1/2013,69.2
11/1/2013,69.5
12/1/2013,69.2
1/1/2014,69.2
2/1/2014,69
3/1/2014,69.4
4/1/2014,69
5/1/2014,69.1
6/1/2014,69.2
7/1/2014,69.3
8/1/2014,69.4
9/1/2014,69.2
10/1/2014,69.2
11/1/2014,69.2
12/1/2014,69.3
1/1/2015,69.3
2/1/2015,69.2
3/1/2015,69.1
4/1/2015,69.3
5/1/2015,69.4
6/1/2015,69
7/1/2015,69
8/1/2015,69
9/1/2015,68.8
10/1/2015,68.8
11/1/2015,68.7
12/1/2015,69
1/1/2016,69
2/1/2016,69.2
3/1/2016,69.3
4/1/2016,69.2
5/1/2016,69
6/1/2016,69.3
7/1/2016,69.3
8/1/2016,69.3
9/1/2016,69.4
10/1/2016,69.2
11/1/2016,69.1
12/1/2016,69.1
1/1/2017,69.2
2/1/2017,69.1
3/1/2017,69.1
4/1/2017,69.2
5/1/2017,69
6/1/2017,69
7/1/2017,68.9
8/1/2017,69.1
9/1/2017,69.3
10/1/2017,69
11/1/2017,68.9
12/1/2017,69
1/1/2018,69.1
2/1/2018,69.3
3/1/2018,69.2
4/1/2018,69.3
5/1/2018,69.2
6/1/2018,69.1
7/1/2018,68.9
8/1/2018,68.8
9/1/2018,68.8
10/1/2018,68.9
11/1/2018,68.9
12/1/2018,69
1/1/2019,69.3
2/1/2019,69.1
3/1/2019,69.1
4/1/2019,68.9
5/1/2019,69
6/1/2019,69.1
7/1/2019,69.2
8/1/2019,69.2
9/1/2019,69.2
10/1/2019,69.1
11/1/2019,69.3
12/1/2019,69.2
1/1/2020,69.4
